ref;Value;Description
J101;NC DF23C-10DP-0.5V;Hirose - DF23C-10DP-0.5V
J102;NC DF23C-10DP-0.5V;Hirose - DF23C-10DP-0.5V
J103;NC DF23C-10DP-0.5V;Hirose - DF23C-10DP-0.5V
J104;NC DF23C-10DP-0.5V;Hirose - DF23C-10DP-0.5V
J105;HOMBON SMD451;Connector 1 SIL SMD SMD451
J106;HOMBON SMD451;Connector 1 SIL SMD SMD451
J107;HOMBON SMD451;Connector 1 SIL SMD SMD451
J108;HOMBON SMD451;Connector 1 SIL SMD SMD451
J109;AXK8L10124BG;Panasonic - AXK8L10124BG
J110;AXK8L10124BG;Panasonic - AXK8L10124BG
J111;AXK8L10124BG;Panasonic - AXK8L10124BG
J112;AXK8L10124BG;Panasonic - AXK8L10124BG
J113;HOMBON SMD451;Connector 1 SIL SMD SMD451
J114;HOMBON SMD451;Connector 1 SIL SMD SMD451
J115;HOMBON SMD451;Connector 1 SIL SMD SMD451
J116;HOMBON SMD451;Connector 1 SIL SMD SMD451
Z101;NC MOUNTING_HOLE_3.5MM;Mounting Hole 3.5MM opening plated
Z102;NC MOUNTING_HOLE_3.5MM;Mounting Hole 3.5MM opening plated
Z106;NC AQLEDS_LOGO;AQLEDS Aqua LEDs Logo
Z107;NC ESD_LOGO;ESD Logo Symbol
